Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
GJB4	0	0	0	0	1	0	0	1	1	1
GLIS3	0	0	0	0	1	0	0	1	1	1
GLRA1	0	0	0	0	1	0	0	1	1	1
GNA15	0	0	0	0	1	0	0	1	1	1
GNAI2	0	0	0	0	1	0	0	1	1	1
GNB1	0	0	0	0	1	0	0	1	1	1
GNRHR	0	0	0	0	1	0	0	1	1	1
GPATCH8	0	0	0	0	1	0	0	1	1	1
GPBP1	0	1	0	0	0	0	0	1	1	1
GPR101	0	0	0	0	1	0	0	1	1	1
GPR115	0	0	0	0	0	1	0	1	1	1
GPR124	0	0	0	0	1	0	0	1	1	1
GPR125	0	0	0	0	1	0	0	1	1	1
GPR128	0	0	0	0	1	0	0	1	1	1
GPR183	0	0	0	0	1	0	0	1	1	1
GPR6	0	0	0	0	1	0	0	1	1	1
GPR98	0	0	0	0	1	0	0	1	1	1
GPRC5B	0	0	0	0	1	0	0	1	1	1
GPRC6A	0	0	0	0	1	0	0	1	1	1
GPX2	0	0	0	0	1	0	0	1	1	1
GRB10	0	0	0	0	1	0	0	1	1	1
GREM2	0	0	0	0	1	0	0	1	1	1
GRIK3	0	0	0	0	1	0	0	1	1	1
GRWD1	0	0	0	0	1	0	0	1	1	1
GSTM3	0	0	0	0	0	0	1	1	1	1
GUCA2A	0	0	0	0	1	0	0	1	1	1
GUCY2C	0	0	0	0	1	0	0	1	1	1
GUCY2D	0	0	0	0	1	0	0	1	1	1
GYG2	0	0	0	0	1	0	0	1	1	1
GZMB	0	0	0	0	1	0	0	1	1	1
HADH	0	0	0	0	1	0	0	1	1	1
HCFC1	0	0	0	0	1	0	0	1	1	1
HCLS1	0	0	0	0	1	0	0	1	1	1
HCN1	0	0	0	0	1	0	0	1	1	1
HDAC2	0	0	0	0	1	0	0	1	1	1
HDAC3	0	0	0	0	1	0	0	1	1	1
HEATR4	0	0	0	0	1	0	0	1	1	1
HEATR7B2	0	0	0	0	1	0	0	1	1	1
HELZ	0	0	0	0	1	0	0	1	1	1
HERC1	0	0	0	0	1	0	0	1	1	1
HERC2	0	0	0	0	1	0	0	1	1	1
HIST1H3D	0	0	0	0	1	0	0	1	1	1
HIVEP1	0	0	0	0	1	0	0	1	1	1
HIVEP2	0	0	0	0	1	0	0	1	1	1
HK1	0	0	0	0	1	0	0	1	1	1
HKR1	0	0	0	0	1	0	0	1	1	1
HLA-B	0	0	0	0	1	0	0	1	1	1
HMCN1	0	0	0	0	0	0	1	1	1	1
HNRNPUL1	0	0	0	0	1	0	0	1	1	1
HOOK3	0	0	0	0	1	0	0	1	1	1
HPS5	0	0	0	0	1	0	0	1	1	1
HSD17B1	0	0	0	0	1	0	0	1	1	1
HSD3B1	0	0	0	0	1	0	0	1	1	1
HSPA13	0	0	0	0	1	0	0	1	1	1
HSPA4	0	0	0	0	0	1	0	1	1	1
HSPB7	0	0	0	0	1	0	0	1	1	1
HSPG2	0	0	0	0	1	0	0	1	1	1
HTR5A	0	0	0	0	1	0	0	1	1	1
HYAL4	0	0	0	0	1	0	0	1	1	1
HYDIN	0	0	0	0	1	0	0	1	1	1
IFI44	0	0	0	0	1	0	0	1	1	1
IGHMBP2	0	0	0	0	0	1	0	1	1	1
IGSF5	0	0	0	0	1	0	0	1	1	1
IGSF9B	0	0	0	0	1	0	0	1	1	1
IKZF1	0	0	0	0	1	0	0	1	1	1
IKZF4	0	0	0	0	1	0	0	1	1	1
IL17RD	0	0	0	0	0	1	0	1	1	1
IL1R1	0	0	0	0	1	0	0	1	1	1
IL1RL2	0	0	0	0	1	0	0	1	1	1
IMMP2L	0	0	0	0	1	0	0	1	1	1
IMPG2	0	0	0	0	1	0	0	1	1	1
IPO7	0	0	0	0	1	0	0	1	1	1
ISLR	0	0	0	0	1	0	0	1	1	1
ITGA10	0	0	0	0	1	0	0	1	1	1
ITGAV	0	0	0	0	0	1	0	1	1	1
ITGAX	0	0	0	0	1	0	0	1	1	1
ITPR1	0	0	0	0	1	0	0	1	1	1
ITPR3	0	0	0	0	1	0	0	1	1	1
JAK3	0	0	0	0	1	0	0	1	1	1
JAM2	0	0	0	0	1	0	0	1	1	1
JMJD1C	0	0	0	0	1	0	0	1	1	1
JMJD5	0	0	0	0	1	0	0	1	1	1
KATNAL2	0	0	0	0	1	0	0	1	1	1
KCNE3	0	0	0	0	1	0	0	1	1	1
KCNH2	0	0	0	0	1	0	0	1	1	1
KCNH5	0	0	0	0	1	0	0	1	1	1
KCNH8	0	0	0	0	1	0	0	1	1	1
KCNJ6	0	0	0	0	1	0	0	1	1	1
KCNN3	0	0	0	0	1	0	0	1	1	1
KCNQ2	0	0	0	0	0	0	1	1	1	1
KCNQ3	0	0	0	0	1	0	0	1	1	1
KCNT1	0	0	0	0	1	0	0	1	1	1
KCNT2	0	0	0	0	1	0	0	1	1	1
KDM2B	0	0	0	0	1	0	0	1	1	1
KHDRBS3	0	0	0	0	1	0	0	1	1	1
KIAA0802	0	0	0	0	1	0	0	1	1	1
KIAA0831	0	0	0	0	1	0	0	1	1	1
KIAA0892	0	0	0	0	1	0	0	1	1	1
KIAA1109	0	0	0	0	1	0	0	1	1	1
KIAA1217	0	0	0	0	1	0	0	1	1	1
KIAA1267	0	1	0	0	0	0	0	1	1	1
KIAA1529	0	0	0	0	1	0	0	1	1	1
KIDINS220	0	0	0	0	1	0	0	1	1	1
KIF1C	0	0	0	0	0	1	0	1	1	1
KIF27	0	0	0	0	1	0	0	1	1	1
KLF15	0	0	0	0	1	0	0	1	1	1
KLHDC3	0	0	0	0	1	0	0	1	1	1
KLHDC7A	0	0	0	0	1	0	0	1	1	1
KLHL12	0	0	0	0	1	0	0	1	1	1
KLHL18	0	0	0	0	1	0	0	1	1	1
KLHL2	0	0	0	0	1	0	0	1	1	1
KLK7	0	0	0	0	0	1	0	1	1	1
KLRK1	0	0	0	0	1	0	0	1	1	1
KPRP	0	0	0	0	1	0	0	1	1	1
KRT13	0	0	0	0	1	0	0	1	1	1
KRT19	0	0	0	0	1	0	0	1	1	1
KRT20	0	0	0	0	1	0	0	1	1	1
KRT27	0	0	0	0	1	0	0	1	1	1
KRT79	0	0	0	0	1	0	0	1	1	1
KRTAP10-8	0	0	0	0	1	0	0	1	1	1
KRTAP24-1	0	0	0	0	1	0	0	1	1	1
KRTAP26-1	0	0	0	0	1	0	0	1	1	1
KRTAP4-2	0	0	0	0	1	0	0	1	1	1
KSR2	0	0	0	0	1	0	0	1	1	1
LAMA1	0	0	0	0	0	1	0	1	1	1
LAMA2	0	0	0	0	1	0	0	1	1	1
LAMA3	0	0	0	0	1	0	0	1	1	1
LAMA5	0	0	0	0	1	0	0	1	1	1
LARP4B	0	0	0	0	1	0	0	1	1	1
LARS	0	0	0	0	1	0	0	1	1	1
LAS1L	0	0	0	0	1	0	0	1	1	1
LBXCOR1	0	0	0	0	1	0	0	1	1	1
LCE1B	0	0	0	0	0	1	0	1	1	1
LEO1	0	0	0	0	1	0	0	1	1	1
LGTN	0	0	0	0	1	0	0	1	1	1
LILRB2	0	0	0	0	1	0	0	1	1	1
LIMA1	0	1	0	0	0	0	0	1	1	1
LIMS2	0	0	0	0	1	0	0	1	1	1
LMOD1	0	0	0	0	1	0	0	1	1	1
LNX1	0	0	0	0	1	0	0	1	1	1
LPA	0	0	0	0	0	0	1	1	1	1
LPPR1	0	0	0	0	1	0	0	1	1	1
LPPR4	0	0	0	0	1	0	0	1	1	1
LRBA	0	0	0	0	1	0	0	1	1	1
LRCH3	0	0	0	0	1	0	0	1	1	1
LRFN3	0	0	0	0	1	0	0	1	1	1
LRIG3	0	0	0	0	1	0	0	1	1	1
LRIT1	0	0	0	0	1	0	0	1	1	1
LRP1B	0	0	0	0	0	0	1	1	1	1
LRP5	0	0	0	0	1	0	0	1	1	1
LRRC15	0	0	0	0	1	0	0	1	1	1
LRRC2	0	0	0	0	0	0	1	1	1	1
LRRC37B	0	1	0	0	0	0	0	1	1	1
LRRC43	0	0	0	0	1	0	0	1	1	1
LRRC58	0	0	0	0	1	0	0	1	1	1
LRRFIP1	0	0	0	0	0	0	1	1	1	1
LRRTM2	0	0	0	0	1	0	0	1	1	1
LRWD1	0	0	0	0	1	0	0	1	1	1
LTA4H	0	0	0	0	1	0	0	1	1	1
LTBP3	0	0	0	0	1	0	0	1	1	1
LUZP2	0	0	0	0	0	0	1	1	1	1
LYRM5	0	0	0	0	1	0	0	1	1	1
LZTS1	0	0	0	0	1	0	0	1	1	1
MAEL	0	0	0	0	1	0	0	1	1	1
MAGEL2	0	0	0	0	1	0	0	1	1	1
MAGI1	0	0	0	0	1	0	0	1	1	1
MAGI3	0	0	0	0	1	0	0	1	1	1
MAP1B	0	0	0	0	1	0	0	1	1	1
MAP6	0	0	0	0	1	0	0	1	1	1
MAPK1	0	0	0	0	1	0	0	1	1	1
MAT1A	0	0	0	0	1	0	0	1	1	1
MAX	0	0	0	0	1	0	0	1	1	1
MBOAT1	1	0	0	0	0	0	0	1	1	1
MBTPS1	0	0	0	0	1	0	0	1	1	1
MCART2	0	0	0	0	1	0	0	1	1	1
MCHR2	0	0	0	0	1	0	0	1	1	1
MCM10	0	0	0	0	0	0	1	1	1	1
MDFI	0	0	0	0	1	0	0	1	1	1
MDH1B	0	0	0	0	1	0	0	1	1	1
MDM2	0	0	0	0	1	0	0	1	1	1
MECR	0	0	0	0	1	0	0	1	1	1
MED14	0	0	0	0	1	0	0	1	1	1
MED21	0	0	0	0	1	0	0	1	1	1
MEGF10	0	0	0	0	1	0	0	1	1	1
MEPE	0	0	0	0	1	0	0	1	1	1
METTL3	0	0	0	0	1	0	0	1	1	1
MEX3B	0	0	0	0	1	0	0	1	1	1
MFN1	0	0	0	0	1	0	0	1	1	1
MFSD6	0	0	0	0	1	0	0	1	1	1
MGA	1	0	0	0	0	0	0	1	1	1
MGAT4C	0	0	0	0	1	0	0	1	1	1
MGAT5B	0	0	0	0	1	0	0	1	1	1
MICAL2	0	0	0	0	1	0	0	1	1	1
MIER3	0	0	0	0	1	0	0	1	1	1
MLL2	0	0	0	0	1	0	0	1	1	1
MLL3	0	0	0	0	0	1	0	1	1	1
MLLT4	0	0	0	0	1	0	0	1	1	1
MMP25	0	0	0	0	1	0	0	1	1	1
MNDA	0	0	0	0	1	0	0	1	1	1
MORC3	0	0	0	0	1	0	0	1	1	1
MPI	0	0	1	0	0	0	0	1	1	1
MPL	0	0	0	0	1	0	0	1	1	1
MPND	0	0	0	0	1	0	0	1	1	1
MRE11A	0	0	0	0	1	0	0	1	1	1
MST1R	0	0	0	0	1	0	0	1	1	1
MTMR3	0	0	0	0	1	0	0	1	1	1
MUC17	0	0	0	0	1	0	0	1	1	1
MUC6	0	0	0	0	1	0	0	1	1	1
MXRA5	0	0	0	0	1	0	0	1	1	1
MYB	0	0	0	0	1	0	0	1	1	1
MYC	0	0	0	0	1	0	0	1	1	1
MYCBP2	0	0	0	0	1	0	0	1	1	1
MYEOV	0	0	0	0	1	0	0	1	1	1
MYF5	0	0	0	0	1	0	0	1	1	1
MYH14	0	0	0	0	1	0	0	1	1	1
MYH15	0	0	0	0	1	0	0	1	1	1
MYH6	0	0	0	0	0	1	0	1	1	1
MYLK	0	0	0	0	1	0	0	1	1	1
MYLK2	0	0	0	0	1	0	0	1	1	1
MYO1F	0	0	0	0	0	0	1	1	1	1
MYO3A	0	0	0	0	1	0	0	1	1	1
MYO5B	0	0	0	0	1	0	0	1	1	1
MYOC	0	0	0	0	0	1	0	1	1	1
MYST4	0	0	0	0	1	0	0	1	1	1
N4BP1	0	0	0	0	1	0	0	1	1	1
NAA15	0	0	0	0	0	1	0	1	1	1
NAE1	0	0	0	0	1	0	0	1	1	1
NAPA	0	0	0	0	1	0	0	1	1	1
NAPSA	0	0	0	0	1	0	0	1	1	1
NAT8L	0	0	0	0	1	0	0	1	1	1
NAV1	0	0	0	0	1	0	0	1	1	1
NBEAL1	0	0	0	0	1	0	0	1	1	1
NCCRP1	0	0	0	0	1	0	0	1	1	1
NCKAP5	0	0	0	0	1	0	0	1	1	1
NCOA3	1	0	0	0	0	0	0	1	1	1
NCOA7	0	0	0	0	1	0	0	1	1	1
NEB	0	0	0	0	1	0	0	1	1	1
NECAB2	0	0	0	0	1	0	0	1	1	1
NFKBIL2	0	0	0	0	1	0	0	1	1	1
NID2	0	0	0	0	1	0	0	1	1	1
NIPSNAP1	0	0	0	0	1	0	0	1	1	1
NKRF	0	0	0	0	1	0	0	1	1	1
NLRC4	0	0	0	0	1	0	0	1	1	1
NLRP11	0	0	0	0	1	0	0	1	1	1
NLRP8	0	0	0	0	1	0	0	1	1	1
NMNAT2	0	0	0	0	1	0	0	1	1	1
NOMO2	0	0	0	0	1	0	0	1	1	1
NONO	0	0	0	0	1	0	0	1	1	1
NOS1	0	0	0	0	1	0	0	1	1	1
NOTCH1	0	0	0	0	1	0	0	1	1	1
NOTCH2	0	0	0	0	1	0	0	1	1	1
NOTCH2NL	0	0	0	0	0	1	0	1	1	1
NOX3	0	0	0	0	1	0	0	1	1	1
NPAS4	0	0	0	0	1	0	0	1	1	1
NPC1	0	0	0	0	1	0	0	1	1	1
NPNT	0	0	0	0	1	0	0	1	1	1
NRAP	0	0	0	0	1	0	0	1	1	1
NRCAM	0	0	0	0	0	0	1	1	1	1
NRF1	0	0	0	0	1	0	0	1	1	1
NRK	0	0	0	0	1	0	0	1	1	1
NRXN1	0	0	0	0	1	0	0	1	1	1
NTRK3	0	0	0	0	1	0	0	1	1	1
NTSR2	0	0	0	0	1	0	0	1	1	1
NUMA1	0	1	0	0	0	0	0	1	1	1
NUP93	0	0	0	0	1	0	0	1	1	1
NXF3	0	0	0	0	0	0	1	1	1	1
OBSCN	0	0	0	0	1	0	0	1	1	1
ODZ2	0	0	0	0	1	0	0	1	1	1
ODZ3	0	0	0	0	1	0	0	1	1	1
OIT3	0	0	0	0	1	0	0	1	1	1
OLFML3	0	0	0	0	1	0	0	1	1	1
OPRM1	0	0	0	0	1	0	0	1	1	1
OR1J2	0	0	0	0	1	0	0	1	1	1
OR2AG1	0	0	0	0	1	0	0	1	1	1
OR2M2	0	0	0	0	1	0	0	1	1	1
OR2M3	0	0	0	0	0	1	0	1	1	1
OR2T10	0	0	0	0	0	1	0	1	1	1
OR3A2	0	0	0	0	1	0	0	1	1	1
OR4B1	0	0	0	0	1	0	0	1	1	1
OR4C15	0	0	0	0	1	0	0	1	1	1
OR4Q3	0	0	0	0	1	0	0	1	1	1
OR51A7	0	0	0	0	1	0	0	1	1	1
OR51L1	0	0	0	0	1	0	0	1	1	1
OR51S1	0	0	0	0	1	0	0	1	1	1
OR52D1	0	0	0	0	0	1	0	1	1	1
OR52E8	0	0	0	0	1	0	0	1	1	1
OR5AR1	0	0	0	0	1	0	0	1	1	1
OR5AS1	0	0	0	0	1	0	0	1	1	1
OR5K3	0	0	0	0	1	0	0	1	1	1
OR5M1	0	0	0	0	1	0	0	1	1	1
OR5W2	0	0	0	0	1	0	0	1	1	1
OR6B2	0	0	0	0	1	0	0	1	1	1
OR7D4	0	0	0	0	1	0	0	1	1	1
OR8A1	0	0	0	0	1	0	0	1	1	1
OR8B12	0	0	0	0	1	0	0	1	1	1
ORAI1	0	0	0	0	1	0	0	1	1	1
OSBP2	0	0	0	0	1	0	0	1	1	1
OSTalpha	0	0	0	0	1	0	0	1	1	1
OTOA	0	0	0	0	1	0	0	1	1	1
OXA1L	0	0	0	0	1	0	0	1	1	1
P2RY2	0	0	0	0	1	0	0	1	1	1
PA2G4	0	0	0	0	1	0	0	1	1	1
PABPC3	0	0	0	0	1	0	0	1	1	1
PAPPA2	0	0	0	0	1	0	0	1	1	1
PARD3	0	0	0	0	1	0	0	1	1	1
PARP14	0	0	0	0	1	0	0	1	1	1
PARP2	0	0	0	0	0	1	0	1	1	1
PARP6	0	0	0	0	1	0	0	1	1	1
PAX3	0	0	0	0	1	0	0	1	1	1
PCDH1	0	0	0	0	1	0	0	1	1	1
PCDH11X	0	0	0	0	1	0	0	1	1	1
PCDH15	0	0	0	0	1	0	0	1	1	1
PCDHA1	0	0	0	0	1	0	0	1	1	1
PCDHA4	0	0	0	0	1	0	0	1	1	1
PCDHA8	0	0	0	0	1	0	0	1	1	1
PCDHB1	0	0	0	0	1	0	0	1	1	1
PCDHB11	0	0	0	0	1	0	0	1	1	1
PCDHB16	0	0	0	0	1	0	0	1	1	1
PCDHB3	0	0	0	0	1	0	0	1	1	1
PCDHB6	0	0	0	0	1	0	0	1	1	1
PCDHGA10	0	0	1	0	0	0	0	1	1	1
PCDHGA3	0	0	0	0	1	0	0	1	1	1
PCDHGA5	0	0	0	0	1	0	0	1	1	1
PCDHGC4	0	0	0	0	1	0	0	1	1	1
PCLO	0	0	0	0	1	0	0	1	1	1
PDC	0	0	0	0	1	0	0	1	1	1
PDCL3	0	1	0	0	0	0	0	1	1	1
PDGFRA	0	0	0	0	1	0	0	1	1	1
PDGFRB	0	0	0	0	1	0	0	1	1	1
PDK4	0	0	0	0	1	0	0	1	1	1
PDS5B	0	0	0	0	1	0	0	1	1	1
PDXDC1	0	0	0	0	1	0	0	1	1	1
PEAR1	0	0	0	0	1	0	0	1	1	1
PEX13	1	0	0	0	0	0	0	1	1	1
PGBD1	0	0	0	0	1	0	0	1	1	1
PGM3	0	0	0	0	1	0	0	1	1	1
PHACTR1	0	0	0	0	1	0	0	1	1	1
PHLPP1	0	0	0	0	1	0	0	1	1	1
PI4KA	0	0	0	0	1	0	0	1	1	1
PIK3CB	0	0	0	0	1	0	0	1	1	1
PIWIL4	0	0	0	0	1	0	0	1	1	1
PKD2L1	0	0	0	0	1	0	0	1	1	1
PKHD1	0	0	0	0	1	0	0	1	1	1
PKIB	0	0	0	0	1	0	0	1	1	1
PKNOX1	0	0	0	0	1	0	0	1	1	1
PLA2G2D	0	0	0	0	1	0	0	1	1	1
PLA2G4C	0	0	0	0	1	0	0	1	1	1
PLA2G4D	0	0	0	0	1	0	0	1	1	1
PLCH2	0	0	0	0	1	0	0	1	1	1
PLCZ1	0	0	0	0	1	0	0	1	1	1
PLEC	0	0	0	0	1	0	0	1	1	1
PLEKHG2	0	0	0	0	1	0	0	1	1	1
PLOD1	0	0	0	0	1	0	0	1	1	1
PLRG1	0	0	0	0	1	0	0	1	1	1
PLXNA4	0	0	0	0	1	0	0	1	1	1
PLXND1	0	1	0	0	0	0	0	1	1	1
PMPCB	0	0	0	0	1	0	0	1	1	1
POC1A	0	0	0	0	1	0	0	1	1	1
POLA2	1	0	0	0	0	0	0	1	1	1
POLR2E	0	0	0	0	0	1	0	1	1	1
POLR3B	0	0	0	0	1	0	0	1	1	1
POM121C	0	0	0	0	1	0	0	1	1	1
POM121L12	0	0	0	0	1	0	0	1	1	1
POSTN	0	0	0	0	1	0	0	1	1	1
POU5F1	0	0	0	0	1	0	0	1	1	1
POU6F2	0	0	0	0	0	1	0	1	1	1
PPAP2A	0	0	0	0	1	0	0	1	1	1
PPIC	0	0	0	0	1	0	0	1	1	1
PPL	0	0	0	0	1	0	0	1	1	1
PPP1R9A	0	0	0	0	1	0	0	1	1	1
PPP2R2B	0	0	0	0	1	0	0	1	1	1
PPPDE2	0	0	0	0	1	0	0	1	1	1
PRAMEF16	0	0	0	0	1	0	0	1	1	1
PRDM16	0	0	0	0	1	0	0	1	1	1
PRDM9	0	0	0	0	1	0	0	1	1	1
PRKAA2	0	0	0	0	0	1	0	1	1	1
PRKCG	0	0	0	0	1	0	0	1	1	1
PRKD3	0	0	0	0	1	0	0	1	1	1
PRODH2	0	0	0	0	0	1	0	1	1	1
PRPF3	0	0	0	0	1	0	0	1	1	1
PRPF4B	0	0	0	0	0	0	1	1	1	1
PRR21	0	0	0	0	1	0	0	1	1	1
PRUNE2	0	0	0	0	1	0	0	1	1	1
PRX	0	0	0	0	1	0	0	1	1	1
PTAR1	0	0	0	0	1	0	0	1	1	1
PTPN14	0	0	0	0	1	0	0	1	1	1
PTPN5	0	0	0	0	1	0	0	1	1	1
PTPRE	0	0	0	0	1	0	0	1	1	1
PTPRG	0	0	0	0	1	0	0	1	1	1
PTPRN	0	0	0	0	1	0	0	1	1	1
PUS1	0	0	0	0	1	0	0	1	1	1
PXDNL	0	0	0	0	1	0	0	1	1	1
PYGO2	0	0	0	0	1	0	0	1	1	1
QRICH2	0	0	0	0	1	0	0	1	1	1
R3HDM1	0	0	0	0	1	0	0	1	1	1
RAB11FIP1	0	0	0	0	1	0	0	1	1	1
RAB17	0	0	0	0	1	0	0	1	1	1
RAB23	0	0	0	0	1	0	0	1	1	1
RAB25	0	0	0	0	1	0	0	1	1	1
RALGAPA2	0	0	0	0	1	0	0	1	1	1
RAP1B	0	0	0	0	1	0	0	1	1	1
RAP1GDS1	0	0	0	0	1	0	0	1	1	1
RAPGEF2	0	0	0	0	0	1	0	1	1	1
RASSF7	0	0	0	0	1	0	0	1	1	1
RASSF9	0	0	0	0	1	0	0	1	1	1
RBKS	0	0	0	0	1	0	0	1	1	1
RBM41	0	0	0	0	1	0	0	1	1	1
RBM9	0	0	0	0	1	0	0	1	1	1
RBMX	0	0	0	0	1	0	0	1	1	1
RCAN2	0	0	0	0	1	0	0	1	1	1
RCC2	0	0	0	0	0	0	1	1	1	1
RFC1	0	0	0	0	1	0	0	1	1	1
RFX3	0	0	0	0	1	0	0	1	1	1
RFX4	0	0	0	0	1	0	0	1	1	1
RGL1	0	0	0	0	1	0	0	1	1	1
RGNEF	0	0	0	0	1	0	0	1	1	1
RIF1	0	0	0	0	1	0	0	1	1	1
RIN2	0	0	0	0	1	0	0	1	1	1
RIT1	0	0	0	0	1	0	0	1	1	1
RNASEN	0	0	0	0	1	0	0	1	1	1
RNF111	0	0	0	0	0	1	0	1	1	1
RNF25	0	0	0	0	1	0	0	1	1	1
RP1	0	0	0	0	1	0	0	1	1	1
RPL32	0	0	0	0	1	0	0	1	1	1
RPL4	0	0	0	0	1	0	0	1	1	1
RPL6	0	0	0	0	1	0	0	1	1	1
RPL9	0	0	0	0	1	0	0	1	1	1
RPS3A	0	0	0	0	1	0	0	1	1	1
RPS6KA6	0	0	0	0	1	0	0	1	1	1
RSRC2	0	0	0	0	1	0	0	1	1	1
RTN4RL1	0	0	0	0	1	0	0	1	1	1
RUFY1	0	0	0	0	1	0	0	1	1	1
RUNX1T1	0	0	0	0	0	1	0	1	1	1
RYR1	0	0	0	0	1	0	0	1	1	1
SACS	0	0	0	0	1	0	0	1	1	1
SAGE1	0	0	0	0	1	0	0	1	1	1
SAP130	0	0	0	0	1	0	0	1	1	1
SBF2	0	0	0	0	1	0	0	1	1	1
SCAND3	0	0	0	0	1	0	0	1	1	1
SCARA3	0	0	0	0	1	0	0	1	1	1
SCARA5	0	0	0	0	1	0	0	1	1	1
SCARB1	0	0	0	0	1	0	0	1	1	1
SCEL	0	0	0	0	1	0	0	1	1	1
SCML2	0	0	0	0	1	0	0	1	1	1
SCN3A	0	0	0	0	1	0	0	1	1	1
SCTR	0	0	0	0	1	0	0	1	1	1
SDK1	0	0	0	0	1	0	0	1	1	1
SDK2	0	0	0	0	1	0	0	1	1	1
SDR42E1	0	0	0	0	1	0	0	1	1	1
SECISBP2L	0	0	0	0	1	0	0	1	1	1
SEL1L2	0	0	0	0	1	0	0	1	1	1
SELENBP1	0	0	0	0	1	0	0	1	1	1
SEMA6D	0	0	0	0	1	0	0	1	1	1
SENP7	0	0	0	0	0	1	0	1	1	1
SERPINA12	0	0	0	0	1	0	0	1	1	1
SERPINB12	0	0	0	0	1	0	0	1	1	1
SERPINB4	0	0	0	0	1	0	0	1	1	1
SETD2	0	1	0	0	0	0	0	1	1	1
SF3B1	0	0	0	0	1	0	0	1	1	1
SFRS2	0	0	1	0	0	0	0	1	1	1
SFRS6	0	0	0	0	1	0	0	1	1	1
SH2B3	0	0	0	0	1	0	0	1	1	1
SH3BP4	0	0	0	0	1	0	0	1	1	1
SH3TC2	0	0	0	0	1	0	0	1	1	1
SHANK1	0	0	0	0	1	0	0	1	1	1
SHQ1	0	0	0	0	1	0	0	1	1	1
SHROOM2	0	0	0	0	0	1	0	1	1	1
SIDT2	0	0	0	0	1	0	0	1	1	1
SIGLEC1	0	0	0	0	1	0	0	1	1	1
SLAMF7	0	0	0	0	1	0	0	1	1	1
SLC12A1	0	0	0	0	1	0	0	1	1	1
SLC12A3	0	0	0	0	1	0	0	1	1	1
SLC13A1	0	0	0	0	1	0	0	1	1	1
SLC15A1	0	0	0	0	0	1	0	1	1	1
SLC16A14	0	0	0	0	0	1	0	1	1	1
SLC17A3	0	0	0	0	1	0	0	1	1	1
SLC17A7	0	0	0	0	1	0	0	1	1	1
SLC18A1	0	0	0	0	1	0	0	1	1	1
SLC18A2	0	0	0	0	1	0	0	1	1	1
SLC1A1	0	0	0	0	1	0	0	1	1	1
SLC24A3	0	0	0	0	1	0	0	1	1	1
SLC24A4	0	0	0	0	0	0	1	1	1	1
SLC27A6	0	0	0	0	1	0	0	1	1	1
SLC30A6	0	0	0	0	1	0	0	1	1	1
SLC37A2	0	0	0	0	1	0	0	1	1	1
SLC38A6	0	0	0	0	1	0	0	1	1	1
SLC39A5	0	1	0	0	0	0	0	1	1	1
SLC43A1	0	0	0	0	1	0	0	1	1	1
SLC4A3	0	0	0	0	0	0	1	1	1	1
SLC6A20	0	0	0	0	1	0	0	1	1	1
SLC6A9	0	0	0	0	1	0	0	1	1	1
SLC7A13	0	0	0	0	1	0	0	1	1	1
SLC7A7	0	0	0	0	1	0	0	1	1	1
SLCO3A1	0	0	0	0	1	0	0	1	1	1
SLCO5A1	0	0	0	0	1	0	0	1	1	1
SLFNL1	0	0	0	0	1	0	0	1	1	1
SLITRK1	0	0	0	0	1	0	0	1	1	1
SLPI	0	0	0	0	1	0	0	1	1	1
SLTM	0	0	0	0	1	0	0	1	1	1
SMAD9	0	0	0	0	1	0	0	1	1	1
SMARCA2	0	0	0	0	1	0	0	1	1	1
SMC5	0	0	0	0	1	0	0	1	1	1
SMEK1	0	0	0	0	1	0	0	1	1	1
SMOC2	0	0	0	0	1	0	0	1	1	1
SMURF2	0	0	0	0	1	0	0	1	1	1
SNCAIP	0	0	0	0	1	0	0	1	1	1
SNED1	0	0	0	0	1	0	0	1	1	1
SNRNP200	0	0	0	0	1	0	0	1	1	1
SON	0	0	0	0	1	0	0	1	1	1
SORCS3	0	0	0	0	1	0	0	1	1	1
SOS1	0	0	0	0	1	0	0	1	1	1
SOX5	0	0	0	0	1	0	0	1	1	1
SPACA1	0	0	0	0	1	0	0	1	1	1
SPAM1	0	0	0	0	1	0	0	1	1	1
SPATA21	0	0	0	0	1	0	0	1	1	1
SPATS2L	0	0	0	0	1	0	0	1	1	1
SPDYA	0	0	0	0	1	0	0	1	1	1
SPEG	0	0	0	0	0	1	0	1	1	1
SPESP1	0	0	0	0	1	0	0	1	1	1
SPG11	0	0	0	0	1	0	0	1	1	1
SPHKAP	0	0	0	0	1	0	0	1	1	1
SPRR4	0	0	0	0	1	0	0	1	1	1
SPTLC2	0	0	0	0	1	0	0	1	1	1
SRCRB4D	0	0	0	0	1	0	0	1	1	1
SREBF2	0	0	0	0	1	0	0	1	1	1
SRRM2	0	1	0	0	0	0	0	1	1	1
SSSCA1	0	0	1	0	0	0	0	1	1	1
SSTR4	0	0	0	0	1	0	0	1	1	1
ST8SIA4	0	0	0	0	1	0	0	1	1	1
STC2	0	1	0	0	0	0	0	1	1	1
STEAP1	0	0	0	0	1	0	0	1	1	1
STEAP2	0	0	0	0	0	1	0	1	1	1
STK32A	0	0	0	0	0	1	0	1	1	1
STK33	0	0	0	0	0	0	1	1	1	1
