"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005509","GO:0005509","calcium ion binding","24/403","234/5050",0.118609791061121,0.523673417137782,0.466429764252275,"CAPNS1/S100A10/S100A11/CALR/HSPA5/MYL9/SPARC/PLA2G2A/ALOX15B/CLSTN1/MYL2/TNNC1/CANT1/TPT1/S100P/MGP/MYL1/MYL6/PCP4/LPL/SPOCK2/FSTL1/CDH1/SPARCL1",24
"GO:0043028","GO:0043028","cysteine-type endopeptidase regulator activity involved in apoptotic process","3/403","16/5050",0.130140865667812,0.563943751227187,0.502298078016118,"PRDX5/RACK1/BEX3",3
"GO:0098641","GO:0098641","cadherin binding involved in cell-cell adhesion","3/403","16/5050",0.130140865667812,0.563943751227187,0.502298078016118,"S100A11/KRT18/PDLIM5",3
"GO:0008233","GO:0008233","peptidase activity","19/403","182/5050",0.135137791351895,0.580224645437496,0.516799279337041,"CAPNS1/KLK2/KLK3/TMPRSS2/LTF/KLK4/ANPEP/PRSS8/MMP7/PLAT/KLK11/SEC11C/KLK14/PDIA3/PIP/DPP7/KLK12/CFD/MIPEP",19
"GO:0019887","GO:0019887","protein kinase regulator activity","10/403","87/5050",0.153198046615104,0.651788052871533,0.580539966120394,"RPLP1/HSP90AB1/CD24/LTF/RACK1/PPP1R1B/HSPB1/SOCS3/CDKN1A/SFN",10
"GO:0016209","GO:0016209","antioxidant activity","6/403","46/5050",0.156828328166093,0.655318371265459,0.583684379264781,"TXN/GPX4/PRDX5/PTGS2/GSTA1/GPX1",6
"GO:0016705","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","6/403","46/5050",0.156828328166093,0.655318371265459,0.583684379264781,"P4HB/CYP1B1/SCD/CYP27A1/CYP4F8/PTGS2",6
"GO:0042803","GO:0042803","protein homodimerization activity","26/403","266/5050",0.15990056603327,0.662243052243985,0.589852111310432,"HSP90AA1/TXN/S100A10/TPI1/S100A11/PSAP/ENO1/ACP3/HSP90AB1/ODC1/B2M/TPM2/FLNA/GDF15/RACK1/TNNC1/CANT1/HSPB1/BST2/JCHAIN/BHLHE40/S100P/LPL/PTGS2/ERP29/TPM1",26
"GO:0003774","GO:0003774","cytoskeletal motor activity","4/403","27/5050",0.16425671930466,0.674317058198078,0.600606286654158,"MYH11/MYH7/MYH3/MYL6",4
"GO:0051087","GO:0051087","chaperone binding","7/403","57/5050",0.166039542178544,0.67570874556138,0.601845846249003,"CALR/HSPA8/HSPA5/CLU/HLA-B/ERP29/FN1",7
"GO:0008047","GO:0008047","enzyme activator activity","5/403","37/5050",0.168713836858087,0.676124328460739,0.602216001058148,"PSAP/DAD1/ARF1/DPM3/GNAS",5
"GO:0043236","GO:0043236","laminin binding","3/403","18/5050",0.169031082115185,0.676124328460739,0.602216001058148,"LGALS1/RPSA/BCAM",3
"GO:0051020","GO:0051020","GTPase binding","11/403","100/5050",0.171590881151375,0.680546884566469,0.606155119856774,"HSP90AA1/ENO1/PFN1/FLNA/YBX1/BRK1/GNB2/CDC42EP5/ERRFI1/CLTA/CAV1",11
"GO:0005178","GO:0005178","integrin binding","9/403","79/5050",0.175956082084211,0.688902692084261,0.613597539508248,"CALR/P4HB/CCN1/CD177/CCN2/ISG15/PTN/FN1/COL3A1",9
"GO:0019900","GO:0019900","kinase binding","27/403","281/5050",0.176641715919041,0.688902692084261,0.613597539508248,"HSP90AA1/PEBP1/HSP90AB1/CD24/ND2/ACTA2/FLNA/EEF1A1/ACTB/ZFP36/RPS19/RPS6/EEF1A2/EEF2/SDC4/RPS3/RACK1/PDLIM5/HSPB1/RPS7/CDKN1A/ERRFI1/RHOB/DUSP1/PTN/CAV1/SFN",27
"GO:0008083","GO:0008083","growth factor activity","6/403","48/5050",0.180590061641937,0.693203965447419,0.617428633192033,"TIMP1/GDF15/CCN2/MDK/PTN/AGT",6
"GO:0005516","GO:0005516","calmodulin binding","8/403","69/5050",0.182058303608288,0.693203965447419,0.617428633192033,"CNN1/MYH11/AEBP1/MARCKSL1/MYH7/MYH3/PCP4/CALD1",8
"GO:0015216","GO:0015216","purine nucleotide transmembrane transporter activity","2/403","10/5050",0.18704772660245,0.693203965447419,0.617428633192033,"SLC25A6/ABCC4",2
"GO:0016712","GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","2/403","10/5050",0.18704772660245,0.693203965447419,0.617428633192033,"CYP1B1/CYP4F8",2
"GO:0030332","GO:0030332","cyclin binding","2/403","10/5050",0.18704772660245,0.693203965447419,0.617428633192033,"RACK1/CDKN1A",2
"GO:0070182","GO:0070182","DNA polymerase binding","2/403","10/5050",0.18704772660245,0.693203965447419,0.617428633192033,"HSP90AA1/HSP90AB1",2
"GO:0050997","GO:0050997","quaternary ammonium group binding","3/403","19/5050",0.189594246959978,0.693203965447419,0.617428633192033,"IGHM/JCHAIN/SERPINA5",3
"GO:1901682","GO:1901682","sulfur compound transmembrane transporter activity","3/403","19/5050",0.189594246959978,0.693203965447419,0.617428633192033,"SLC44A4/ABCC4/SLC26A3",3
"GO:0005048","GO:0005048","signal sequence binding","3/403","20/5050",0.210749347823196,0.731274941082609,0.651338004203133,"KDELR2/SEC61A1/SRP14",3
"GO:0005520","GO:0005520","insulin-like growth factor binding","3/403","20/5050",0.210749347823196,0.731274941082609,0.651338004203133,"CCN1/IGFBP7/CCN2",3
"GO:0031492","GO:0031492","nucleosomal DNA binding","3/403","20/5050",0.210749347823196,0.731274941082609,0.651338004203133,"H1-2/ACTB/H1-0",3
"GO:0098632","GO:0098632","cell-cell adhesion mediator activity","4/403","30/5050",0.214085421665581,0.731274941082609,0.651338004203133,"S100A11/KRT18/PDLIM5/VSTM2L",4
"GO:0019207","GO:0019207","kinase regulator activity","10/403","94/5050",0.214684169448095,0.731274941082609,0.651338004203133,"RPLP1/HSP90AB1/CD24/LTF/RACK1/PPP1R1B/HSPB1/SOCS3/CDKN1A/SFN",10
"GO:0004177","GO:0004177","aminopeptidase activity","2/403","11/5050",0.217194907714706,0.731274941082609,0.651338004203133,"ANPEP/DPP7",2
"GO:0008200","GO:0008200","ion channel inhibitor activity","2/403","11/5050",0.217194907714706,0.731274941082609,0.651338004203133,"RACK1/CAV1",2
"GO:0015215","GO:0015215","nucleotide transmembrane transporter activity","2/403","11/5050",0.217194907714706,0.731274941082609,0.651338004203133,"SLC25A6/ABCC4",2
"GO:0016248","GO:0016248","channel inhibitor activity","2/403","11/5050",0.217194907714706,0.731274941082609,0.651338004203133,"RACK1/CAV1",2
"GO:0035925","GO:0035925","mRNA 3'-UTR AU-rich region binding","2/403","11/5050",0.217194907714706,0.731274941082609,0.651338004203133,"ZFP36/ZFP36L1",2
"GO:0140597","GO:0140597","protein carrier activity","2/403","11/5050",0.217194907714706,0.731274941082609,0.651338004203133,"HSPA8/CLU",2
"GO:0046914","GO:0046914","transition metal ion binding","27/403","291/5050",0.228611202578317,0.764214591476089,0.680676964067772,"CALR/CYP1B1/FTL/TIMP1/LTF/RPS27/MT1G/AEBP1/ANPEP/GLO1/ALOX15B/NR4A1/SCD/MT2A/EGR1/APLP2/MMP7/LCN2/B4GALT1/S100P/CA3/CYP27A1/SEMG1/CA2/SEMG2/CYP4F8/MT1E",27
"GO:0035198","GO:0035198","miRNA binding","2/403","12/5050",0.247717806821376,0.777951799867313,0.692912534294772,"NEAT1/YBX1",2
"GO:0035255","GO:0035255","ionotropic glutamate receptor binding","2/403","12/5050",0.247717806821376,0.777951799867313,0.692912534294772,"ND2/GNAS",2
"GO:0042625","GO:0042625","ATPase-coupled ion transmembrane transporter activity","2/403","12/5050",0.247717806821376,0.777951799867313,0.692912534294772,"ATP6V1G1/ATP5F1B",2
"GO:0042887","GO:0042887","amide transmembrane transporter activity","2/403","12/5050",0.247717806821376,0.777951799867313,0.692912534294772,"ABCC4/AQP3",2
"GO:0044769","GO:0044769","ATPase activity, coupled to transmembrane movement of ions, rotational mechanism","2/403","12/5050",0.247717806821376,0.777951799867313,0.692912534294772,"ATP6V1G1/ATP5F1B",2
"GO:0046915","GO:0046915","transition metal ion transmembrane transporter activity","2/403","12/5050",0.247717806821376,0.777951799867313,0.692912534294772,"SLC39A6/SLC39A7",2
"GO:0046961","GO:0046961","proton-transporting ATPase activity, rotational mechanism","2/403","12/5050",0.247717806821376,0.777951799867313,0.692912534294772,"ATP6V1G1/ATP5F1B",2
"GO:0016667","GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","4/403","32/5050",0.249343525598498,0.777951799867313,0.692912534294772,"TXN/P4HB/PDIA3/PDIA4",4
"GO:0017022","GO:0017022","myosin binding","4/403","32/5050",0.249343525598498,0.777951799867313,0.692912534294772,"MYL9/MYL2/ACTA1/CALD1",4
"GO:0031491","GO:0031491","nucleosome binding","4/403","32/5050",0.249343525598498,0.777951799867313,0.692912534294772,"H1-2/ACTB/H1-0/SMARCA1",4
"GO:0015485","GO:0015485","cholesterol binding","3/403","22/5050",0.254397642222058,0.783276951052126,0.697655583933068,"APOD/TSPO/CAV1",3
"GO:0045309","GO:0045309","protein phosphorylated amino acid binding","3/403","22/5050",0.254397642222058,0.783276951052126,0.697655583933068,"YWHAE/PFN1/SOCS3",3
"GO:0043394","GO:0043394","proteoglycan binding","3/403","23/5050",0.276684436393885,0.835095543847771,0.743809796139715,"LPL/PTN/FN1",3
"GO:0005044","GO:0005044","scavenger receptor activity","2/403","13/5050",0.27836518128259,0.835095543847771,0.743809796139715,"TMPRSS2/LGALS3BP",2
"GO:0009678","GO:0009678","pyrophosphate hydrolysis-driven proton transmembrane transporter activity","2/403","13/5050",0.27836518128259,0.835095543847771,0.743809796139715,"ATP6V1G1/ATP5F1B",2
"GO:0099094","GO:0099094","ligand-gated cation channel activity","2/403","13/5050",0.27836518128259,0.835095543847771,0.743809796139715,"TRPM8/CHRNA2",2
"GO:0001540","GO:0001540","amyloid-beta binding","4/403","34/5050",0.28572100723212,0.845662875968574,0.753221994789823,"CD74/CLU/CLSTN1/CST3",4
"GO:0030295","GO:0030295","protein kinase activator activity","4/403","34/5050",0.28572100723212,0.845662875968574,0.753221994789823,"RPLP1/CD24/LTF/CDKN1A",4
"GO:0015267","GO:0015267","channel activity","9/403","90/5050",0.289115513151649,0.845662875968574,0.753221994789823,"CLDN4/STEAP1/SEC61A1/TRPM8/AQP2/AQP3/ATP5F1B/CHRNA2/CLIC4",9
"GO:0022803","GO:0022803","passive transmembrane transporter activity","9/403","90/5050",0.289115513151649,0.845662875968574,0.753221994789823,"CLDN4/STEAP1/SEC61A1/TRPM8/AQP2/AQP3/ATP5F1B/CHRNA2/CLIC4",9
"GO:0004497","GO:0004497","monooxygenase activity","3/403","24/5050",0.299151522912968,0.850447720138575,0.75748379931371,"CYP1B1/CYP27A1/CYP4F8",3
"GO:0022857","GO:0022857","transmembrane transporter activity","28/403","315/5050",0.299211882560614,0.850447720138575,0.75748379931371,"COX8A/NDUFB7/ND1/ND6/NDUFS5/ND4L/SLC45A3/NDUFA1/ND2/SLC25A6/CLDN4/SLC39A6/SLC44A4/SLC39A7/ABCC4/ND5/ATP6V1G1/AZGP1/STEAP1/SEC61A1/TRPM8/AQP2/SLC26A3/SLCO2A1/AQP3/ATP5F1B/CHRNA2/CLIC4",28
"GO:0047485","GO:0047485","protein N-terminus binding","5/403","46/5050",0.303979304243458,0.850447720138575,0.75748379931371,"RPS21/PDLIM5/EIF5A/YWHAQ/HSPA1B",5
"GO:0048306","GO:0048306","calcium-dependent protein binding","5/403","46/5050",0.303979304243458,0.850447720138575,0.75748379931371,"S100A10/S100A11/CD177/TNNC1/S100P",5
"GO:0004864","GO:0004864","protein phosphatase inhibitor activity","2/403","14/5050",0.308923317144354,0.850447720138575,0.75748379931371,"PPP1R1B/PTN",2
"GO:0005254","GO:0005254","chloride channel activity","2/403","14/5050",0.308923317144354,0.850447720138575,0.75748379931371,"CLDN4/CLIC4",2
"GO:0008320","GO:0008320","protein transmembrane transporter activity","2/403","14/5050",0.308923317144354,0.850447720138575,0.75748379931371,"AZGP1/SEC61A1",2
"GO:0016628","GO:0016628","oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor","2/403","14/5050",0.308923317144354,0.850447720138575,0.75748379931371,"FASN/PTGR1",2
"GO:0019894","GO:0019894","kinesin binding","2/403","14/5050",0.308923317144354,0.850447720138575,0.75748379931371,"ACTB/CLSTN1",2
"GO:0061980","GO:0061980","regulatory RNA binding","2/403","14/5050",0.308923317144354,0.850447720138575,0.75748379931371,"NEAT1/YBX1",2
"GO:0033293","GO:0033293","monocarboxylic acid binding","3/403","25/5050",0.321710451156056,0.873233771266751,0.777779067525041,"PSAP/SERPINA5/GSTA1",3
"GO:0015103","GO:0015103","inorganic anion transmembrane transporter activity","4/403","36/5050",0.322797953908436,0.873233771266751,0.777779067525041,"CLDN4/ABCC4/SLC26A3/CLIC4",4
"GO:0019209","GO:0019209","kinase activator activity","4/403","36/5050",0.322797953908436,0.873233771266751,0.777779067525041,"RPLP1/CD24/LTF/CDKN1A",4
"GO:0017134","GO:0017134","fibroblast growth factor binding","2/403","15/5050",0.339211663146521,0.907148904871838,0.807986878833216,"RPS19/RPS2",2
"GO:0051393","GO:0051393","alpha-actinin binding","2/403","15/5050",0.339211663146521,0.907148904871838,0.807986878833216,"PDLIM5/SYNPO2",2
"GO:0042626","GO:0042626","ATPase-coupled transmembrane transporter activity","4/403","37/5050",0.341474816581206,0.90801258045457,0.808756144534435,"ABCC4/ATP6V1G1/SLC26A3/ATP5F1B",4
"GO:0016627","GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","3/403","26/5050",0.344279138831652,0.910297384029452,0.810791192252953,"FASN/PTGR1/ACAD8",3
"GO:0016616","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","6/403","61/5050",0.359553804458857,0.938744209385121,0.836128445606181,"RDH11/FASN/ABCC4/DCXR/PTGR1/CYP27A1",6
"GO:0032934","GO:0032934","sterol binding","3/403","27/5050",0.366781941272526,0.938744209385121,0.836128445606181,"APOD/TSPO/CAV1",3
"GO:0001784","GO:0001784","phosphotyrosine residue binding","2/403","16/5050",0.369078919929193,0.938744209385121,0.836128445606181,"PFN1/SOCS3",2
"GO:0015276","GO:0015276","ligand-gated ion channel activity","2/403","16/5050",0.369078919929193,0.938744209385121,0.836128445606181,"TRPM8/CHRNA2",2
"GO:0019212","GO:0019212","phosphatase inhibitor activity","2/403","16/5050",0.369078919929193,0.938744209385121,0.836128445606181,"PPP1R1B/PTN",2
"GO:0022834","GO:0022834","ligand-gated channel activity","2/403","16/5050",0.369078919929193,0.938744209385121,0.836128445606181,"TRPM8/CHRNA2",2
"GO:0022884","GO:0022884","macromolecule transmembrane transporter activity","2/403","16/5050",0.369078919929193,0.938744209385121,0.836128445606181,"AZGP1/SEC61A1",2
"GO:0140677","GO:0140677","molecular function activator activity","5/403","51/5050",0.385273816820516,0.974638628497305,0.868099183276952,"PSAP/DAD1/ARF1/DPM3/GNAS",5
"GO:0022853","GO:0022853","active ion transmembrane transporter activity","8/403","87/5050",0.39212222293387,0.97618316572412,0.869474884450633,"COX8A/SLC45A3/SLC25A6/ABCC4/ATP6V1G1/SLC26A3/SLCO2A1/ATP5F1B",8
"GO:0046983","GO:0046983","protein dimerization activity","32/403","379/5050",0.393851193393275,0.97618316572412,0.869474884450633,"YWHAE/HSP90AA1/TXN/S100A10/TPI1/S100A11/PSAP/H2AJ/ENO1/ACP3/P4HB/HSP90AB1/XBP1/ODC1/B2M/TPM2/FLNA/GDF15/NR4A1/RACK1/TNNC1/CANT1/HSPB1/BST2/JCHAIN/BHLHE40/S100P/LPL/PTGS2/ERP29/CAV1/TPM1",32
"GO:0005215","GO:0005215","transporter activity","30/403","355/5050",0.397163260021721,0.97618316572412,0.869474884450633,"COX8A/NDUFB7/ND1/ND6/NDUFS5/ND4L/SLC45A3/NDUFA1/ND2/SLC25A6/CLDN4/SLC39A6/SLC44A4/SLC39A7/ABCC4/ND5/APOD/ATP6V1G1/AZGP1/TSPO/STEAP1/SEC61A1/TRPM8/AQP2/SLC26A3/SLCO2A1/AQP3/ATP5F1B/CHRNA2/CLIC4",30
"GO:0003697","GO:0003697","single-stranded DNA binding","4/403","40/5050",0.397514547876593,0.97618316572412,0.869474884450633,"YBX1/SMARCA1/IGHM/JCHAIN",4
"GO:0015932","GO:0015932","nucleobase-containing compound transmembrane transporter activity","2/403","17/5050",0.398399539857493,0.97618316572412,0.869474884450633,"SLC25A6/ABCC4",2
"GO:0140318","GO:0140318","protein transporter activity","2/403","17/5050",0.398399539857493,0.97618316572412,0.869474884450633,"AZGP1/SEC61A1",2
"GO:0016614","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","6/403","64/5050",0.403594422850856,0.983761405698961,0.876224733820937,"RDH11/FASN/ABCC4/DCXR/PTGR1/CYP27A1",6
"GO:0051213","GO:0051213","dioxygenase activity","3/403","29/5050",0.41131928637902,0.997395989768815,0.888368897769795,"P4HB/ALOX15B/PTGS2",3
"GO:0001968","GO:0001968","fibronectin binding","2/403","18/5050",0.427070597075281,0.999999782271627,0.890688065181206,"SDC4/CCN2",2
"GO:0140375","GO:0140375","immune receptor activity","3/403","30/5050",0.433234160236068,0.999999782271627,0.890688065181206,"CD74/HLA-DRA/HLA-DRB1",3
"GO:0005518","GO:0005518","collagen binding","4/403","42/5050",0.43447565556987,0.999999782271627,0.890688065181206,"SPARC/AEBP1/FN1/SPARCL1",4
"GO:0016298","GO:0016298","lipase activity","4/403","42/5050",0.43447565556987,0.999999782271627,0.890688065181206,"PLA2G2A/FAAH/PDIA3/LPL",4
"GO:0042562","GO:0042562","hormone binding","3/403","31/5050",0.45484344820268,0.999999782271627,0.890688065181206,"CALR/TSPO/SEC61B",3
"GO:0043178","GO:0043178","alcohol binding","3/403","31/5050",0.45484344820268,0.999999782271627,0.890688065181206,"APOD/TSPO/CAV1",3
"GO:0005253","GO:0005253","anion channel activity","2/403","19/5050",0.455008991206494,0.999999782271627,0.890688065181206,"CLDN4/CLIC4",2
"GO:0005262","GO:0005262","calcium channel activity","2/403","19/5050",0.455008991206494,0.999999782271627,0.890688065181206,"SEC61A1/TRPM8",2
"GO:0015297","GO:0015297","antiporter activity","2/403","19/5050",0.455008991206494,0.999999782271627,0.890688065181206,"SLC25A6/SLC26A3",2
"GO:0016811","GO:0016811","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides","2/403","19/5050",0.455008991206494,0.999999782271627,0.890688065181206,"KLK3/FAAH",2
"GO:0035254","GO:0035254","glutamate receptor binding","2/403","19/5050",0.455008991206494,0.999999782271627,0.890688065181206,"ND2/GNAS",2
"GO:0042805","GO:0042805","actinin binding","2/403","19/5050",0.455008991206494,0.999999782271627,0.890688065181206,"PDLIM5/SYNPO2",2
"GO:0001664","GO:0001664","G protein-coupled receptor binding","8/403","93/5050",0.466885584466143,0.999999782271627,0.890688065181206,"HSPA8/FLNA/NPY/PPP1R1B/CCL2/AGT/HSPA1B/GNAS",8
"GO:0140657","GO:0140657","ATP-dependent activity","13/403","155/5050",0.468443734634158,0.999999782271627,0.890688065181206,"HSP90AA1/HSPA8/HSPA5/ABCC4/ATP6V1G1/MYH7/SMARCA1/MYH3/MYL6/SLC26A3/ATP5F1B/HSPA6/HSPA1B",13
"GO:0030674","GO:0030674","protein-macromolecule adaptor activity","10/403","119/5050",0.481050764891223,0.999999782271627,0.890688065181206,"HSPA8/COL1A2/RACK1/TCAP/JCHAIN/VAMP8/GNB2/LPL/CAV1/SYNPO2",10
"GO:0000049","GO:0000049","tRNA binding","2/403","20/5050",0.482148951582416,0.999999782271627,0.890688065181206,"RPL35A/EEF1A1",2
"GO:0038024","GO:0038024","cargo receptor activity","2/403","20/5050",0.482148951582416,0.999999782271627,0.890688065181206,"TMPRSS2/LGALS3BP",2
"GO:0020037","GO:0020037","heme binding","4/403","45/5050",0.488619545011777,0.999999782271627,0.890688065181206,"CYP1B1/CYP27A1/CYP4F8/PTGS2",4
"GO:0004620","GO:0004620","phospholipase activity","3/403","33/5050",0.496970353352135,0.999999782271627,0.890688065181206,"PLA2G2A/PDIA3/LPL",3
"GO:0005179","GO:0005179","hormone activity","3/403","33/5050",0.496970353352135,0.999999782271627,0.890688065181206,"NPY/RLN1/AGT",3
"GO:0016407","GO:0016407","acetyltransferase activity","2/403","21/5050",0.508439812015636,0.999999782271627,0.890688065181206,"FASN/SAT1",2
"GO:0008509","GO:0008509","anion transmembrane transporter activity","7/403","84/5050",0.510594478492963,0.999999782271627,0.890688065181206,"SLC25A6/CLDN4/SLC44A4/ABCC4/SLC26A3/SLCO2A1/CLIC4",7
"GO:0015318","GO:0015318","inorganic molecular entity transmembrane transporter activity","15/403","185/5050",0.51461926503434,0.999999782271627,0.890688065181206,"COX8A/SLC45A3/CLDN4/SLC39A6/SLC39A7/ABCC4/ATP6V1G1/SEC61A1/TRPM8/AQP2/SLC26A3/AQP3/ATP5F1B/CHRNA2/CLIC4",15
"GO:0001618","GO:0001618","virus receptor activity","3/403","34/5050",0.517413838460523,0.999999782271627,0.890688065181206,"ANPEP/RPSA/HSPA1B",3
"GO:0001217","GO:0001217","DNA-binding transcription repressor activity","5/403","60/5050",0.528375003242189,0.999999782271627,0.890688065181206,"ENO1/AEBP1/JUN/HOXB13/BHLHE40",5
"GO:0001227","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","5/403","60/5050",0.528375003242189,0.999999782271627,0.890688065181206,"ENO1/AEBP1/JUN/HOXB13/BHLHE40",5
"GO:0008514","GO:0008514","organic anion transmembrane transporter activity","5/403","60/5050",0.528375003242189,0.999999782271627,0.890688065181206,"SLC25A6/SLC44A4/ABCC4/SLC26A3/SLCO2A1",5
"GO:0016765","GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups","2/403","22/5050",0.533844028994993,0.999999782271627,0.890688065181206,"SMS/GSTA1",2
"GO:0140272","GO:0140272","exogenous protein binding","3/403","35/5050",0.537402888044673,0.999999782271627,0.890688065181206,"ANPEP/RPSA/HSPA1B",3
"GO:0042826","GO:0042826","histone deacetylase binding","4/403","48/5050",0.540533217826645,0.999999782271627,0.890688065181206,"YWHAE/HSP90AA1/HSP90AB1/HSPA1B",4
"GO:0005319","GO:0005319","lipid transporter activity","4/403","49/5050",0.557236998270775,0.999999782271627,0.890688065181206,"ABCC4/APOD/TSPO/SLCO2A1",4
"GO:0031406","GO:0031406","carboxylic acid binding","4/403","49/5050",0.557236998270775,0.999999782271627,0.890688065181206,"PSAP/GNMT/SERPINA5/GSTA1",4
"GO:0046906","GO:0046906","tetrapyrrole binding","4/403","49/5050",0.557236998270775,0.999999782271627,0.890688065181206,"CYP1B1/CYP27A1/CYP4F8/PTGS2",4
"GO:0019829","GO:0019829","ATPase-coupled cation transmembrane transporter activity","2/403","23/5050",0.558335418766527,0.999999782271627,0.890688065181206,"ATP6V1G1/ATP5F1B",2
"GO:0004623","GO:0004623","phospholipase A2 activity","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"PLA2G2A",1
"GO:0008408","GO:0008408","3'-5' exonuclease activity","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"TRIR",1
"GO:0015020","GO:0015020","glucuronosyltransferase activity","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"CHPF",1
"GO:0015101","GO:0015101","organic cation transmembrane transporter activity","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"SLC44A4",1
"GO:0015295","GO:0015295","solute:proton symporter activity","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"SLC45A3",1
"GO:0015662","GO:0015662","P-type ion transporter activity","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"ABCC4",1
"GO:0016417","GO:0016417","S-acyltransferase activity","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"FASN",1
"GO:0016668","GO:0016668","oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"TXN",1
"GO:0016709","GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"CYP27A1",1
"GO:0019956","GO:0019956","chemokine binding","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"ZFP36",1
"GO:0032813","GO:0032813","tumor necrosis factor receptor superfamily binding","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"BEX3",1
"GO:0044548","GO:0044548","S100 protein binding","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"S100A11",1
"GO:0051019","GO:0051019","mitogen-activated protein kinase binding","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"DUSP1",1
"GO:0051427","GO:0051427","hormone receptor binding","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"GNAS",1
"GO:0055102","GO:0055102","lipase inhibitor activity","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"SCGB1A1",1
"GO:0070064","GO:0070064","proline-rich region binding","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"PFN1",1
"GO:0071813","GO:0071813","lipoprotein particle binding","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"LPL",1
"GO:0071814","GO:0071814","protein-lipid complex binding","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"LPL",1
"GO:0097001","GO:0097001","ceramide binding","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"PSAP",1
"GO:0140358","GO:0140358","P-type transmembrane transporter activity","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"ABCC4",1
"GO:0140359","GO:0140359","ABC-type transporter activity","1/403","10/5050",0.565012385323277,0.999999782271627,0.890688065181206,"ABCC4",1
"GO:0008270","GO:0008270","zinc ion binding","16/403","204/5050",0.568472221465123,0.999999782271627,0.890688065181206,"CALR/TIMP1/RPS27/MT1G/AEBP1/ANPEP/GLO1/NR4A1/MT2A/EGR1/MMP7/CA3/SEMG1/CA2/SEMG2/MT1E",16
"GO:0052689","GO:0052689","carboxylic ester hydrolase activity","4/403","50/5050",0.573610545659517,0.999999782271627,0.890688065181206,"PLA2G2A/FAAH/CA2/LPL",4
"GO:0015085","GO:0015085","calcium ion transmembrane transporter activity","2/403","24/5050",0.581897591116851,0.999999782271627,0.890688065181206,"SEC61A1/TRPM8",2
"GO:0005216","GO:0005216","ion channel activity","6/403","77/5050",0.586110039483763,0.999999782271627,0.890688065181206,"CLDN4/SEC61A1/TRPM8/ATP5F1B/CHRNA2/CLIC4",6
"GO:0046982","GO:0046982","protein heterodimerization activity","9/403","116/5050",0.586237075187358,0.999999782271627,0.890688065181206,"YWHAE/H2AJ/P4HB/XBP1/TPM2/NR4A1/BHLHE40/CAV1/TPM1",9
"GO:0048018","GO:0048018","receptor ligand activity","10/403","130/5050",0.596938879095251,0.999999782271627,0.890688065181206,"TIMP1/GDF15/NPY/RLN1/CCN2/MDK/CCL2/SCGB3A1/PTN/AGT",10
"GO:0001223","GO:0001223","transcription coactivator binding","1/403","11/5050",0.599794133084134,0.999999782271627,0.890688065181206,"RPL23",1
"GO:0008187","GO:0008187","poly-pyrimidine tract binding","1/403","11/5050",0.599794133084134,0.999999782271627,0.890688065181206,"PABPC1",1
"GO:0008376","GO:0008376","acetylgalactosaminyltransferase activity","1/403","11/5050",0.599794133084134,0.999999782271627,0.890688065181206,"CHPF",1
